personid,wfh,age,grosswage,children,bedroom,commute,married
38018,0,25,2.4711423,0,1,120,0
38028,1,21,4.081461,0,1,20,0
38038,1,35,3.7505789,1,1,50,1
38040,1,22,2.4195065,0,1,120,1
38042,1,20,2.1565979,0,1,180,0
38046,0,21,2.5232611,0,1,180,0
38070,1,18,2.1282835,0,1,180,0
38290,0,21,2.2940667,0,1,20,0
38566,1,22,2.6179056,0,1,300,1
38580,1,22,3.1737044,0,1,150,0
38712,0,22,2.408632,0,1,60,0
38878,1,25,2.7521698,0,1,180,0
38898,1,22,2.3294411,0,1,30,0
39144,0,18,2.307771,0,1,135,0
39164,0,19,1.9574367,0,1,60,0
39458,0,21,2.0327144,0,1,180,0
39466,0,19,2.3777688,0,1,90,0
39490,1,23,2.8580811,0,1,80,0
39512,1,19,2.7819822,0,1,120,0
39548,1,26,2.2523489,0,1,120,0
39634,0,20,3.3516254,0,1,28,0
39748,0,22,2.5558746,1,1,60,1
39990,1,24,2.6146433,0,1,40,0
40162,0,21,2.5025301,0,1,120,0
40164,1,22,2.7391,0,1,180,0
40192,1,23,2.4117811,0,1,180,0
40316,1,25,2.5293367,0,1,60,0
40320,1,25,3.1419656,1,1,30,1
40322,0,24,2.4230156,0,1,80,0
40328,0,22,2.8085544,0,1,40,0
40336,0,25,1.8216889,0,1,120,0
40444,1,34,4.5790925,1,1,240,1
40456,0,23,2.9682412,0,1,40,0
40472,1,25,2.7997401,0,1,90,0
40490,0,21,2.2997365,0,1,200,0
41286,1,23,2.2320545,0,1,60,0
41318,1,22,2.8944988,0,1,150,0
41818,1,23,1.5676389,0,1,40,0
42108,1,23,2.180999,0,1,165,0
42140,0,25,2.0991511,1,1,120,1
42146,1,21,2.6055667,0,1,155,0
42152,0,25,2.2796545,0,1,120,0
42308,1,23,2.1777735,0,1,190,1
42592,0,23,2.1660967,0,1,120,0
42624,1,23,2.1169591,0,1,180,0
42628,1,22,2.6698179,0,1,140,0
42632,0,21,2.1365278,0,1,210,0
43258,0,22,2.5343001,0,1,180,0
43264,1,22,2.1834314,0,1,210,0
43270,1,25,2.6007185,0,1,180,0
43278,1,23,1.8964972,0,1,120,0
43286,1,20,2.3404601,0,1,20,0
43500,1,27,2.6960227,1,1,120,1
43534,1,23,2.3380985,0,1,180,0
43570,1,18,2.4264233,0,1,180,0
43926,1,22,2.8931179,0,1,50,0
44266,1,19,2.1462648,0,1,55,0
44282,0,20,1.9008915,0,1,240,0
44408,1,22,1.6431301,0,1,180,0
44782,1,23,2.7881098,0,1,60,0
44784,0,31,2.4996901,0,1,30,0
44800,1,25,2.74229,0,1,120,0
45238,1,22,1.6785461,0,1,40,0
45254,1,23,1.908324,0,1,210,0
45442,0,22,2.4788702,0,1,40,0
3224,0,30,3.8248823,0,0,40,0
4118,0,31,3.4603801,1,0,180,1
4164,0,28,7.2532001,0,1,65,1
4252,0,29,4.0608325,0,0,140,0
4944,0,25,4.4770112,0,1,180,0
4992,0,25,3.8015378,0,1,240,0
5560,0,29,4.420188,1,1,50,1
5606,0,26,3.0919712,0,0,120,0
5742,0,26,6.7337432,0,1,60,1
5784,0,31,2.9404178,0,1,160,0
5906,0,23,4.5938811,1,1,180,1
5930,0,23,4.410223,0,0,50,0
6162,0,31,3.8107321,0,1,120,0
6278,0,32,2.9187889,1,1,170,1
6284,0,23,3.9908912,0,0,60,0
6300,0,33,3.3604422,0,1,80,0
6342,0,30,3.923372,1,1,120,1
6344,0,27,4.5168571,1,1,120,1
6856,0,31,2.1215911,0,1,180,0
6898,0,24,4.6395741,0,0,120,0
6904,0,23,3.7446711,0,0,45,0
6924,0,22,4.9445286,0,1,110,0
7056,0,27,5.0630698,1,0,80,1
7132,0,22,3.6314757,0,1,50,0
7184,0,27,4.2302675,0,1,120,1
7240,0,23,4.35887,0,0,40,0
7324,0,27,4.6434965,0,0,90,0
7454,0,24,2.0513732,0,1,85,1
7456,0,25,4.9626255,0,0,120,0
7538,0,24,3.3498802,0,0,120,0
7660,0,25,3.49544,0,1,240,0
7820,0,28,3.5054533,1,1,180,1
7856,0,22,5.1482167,0,0,40,0
7872,0,22,3.6174922,0,0,60,0
7896,0,22,3.8224521,0,0,60,0
7978,0,29,4.3938274,1,1,180,1
8440,0,24,1.5288833,0,1,80,0
8830,0,22,5.8753214,0,0,30,0
8858,0,23,4.3171253,0,1,90,0
9070,0,23,4.0421543,0,1,60,0
9072,0,23,4.3165522,0,0,40,0
9086,0,22,3.2136621,0,0,100,0
9106,0,23,3.6806667,0,1,20,0
9426,0,23,3.2903333,0,1,30,0
9432,0,22,4.9271822,0,0,40,0
9460,0,23,5.8756423,0,1,40,0
9666,0,26,2.7383602,0,0,50,1
9886,0,30,3.8439844,0,1,80,0
10024,0,26,3.3279943,1,1,230,1
10098,0,28,4.3152037,1,1,180,1
10210,0,23,4.0901799,0,0,60,0
10228,0,22,5.9146934,0,0,30,0
10236,0,22,3.9678166,0,0,55,0
10450,0,27,4.5207467,0,1,180,0
10868,0,30,1.4717622,1,1,130,1
11034,0,25,3.9688244,0,0,40,0
11062,0,22,3.3237,0,0,40,0
11128,0,28,3.9076154,0,1,40,1
11212,0,32,3.6687167,0,0,180,0
11238,0,23,3.4772835,0,0,80,0
11314,0,25,3.7485299,0,1,120,0
11362,0,27,3.9455733,1,1,180,1
11386,0,26,3.5143433,0,0,80,0
11582,0,22,3.71543,0,1,50,0
11814,0,24,5.9308381,0,1,50,0
11870,0,28,3.38325,0,1,20,0
11896,0,29,3.5289278,1,1,120,1
12150,0,33,2.9225345,1,1,150,1
12350,0,29,4.3548565,1,1,180,1
12806,0,23,2.3903179,0,0,80,0
13010,0,21,4.3259802,0,0,70,0
13054,0,25,3.4843545,0,0,120,0
13056,0,28,2.136348,0,1,60,0
13118,0,22,2.8010588,0,1,125,0
13214,0,21,2.7348032,0,0,120,0
13222,0,21,4.1090388,0,0,60,0
13250,0,25,4.74861,0,1,60,0
13346,0,21,4.6262054,0,0,40,0
13484,0,25,2.7452157,0,1,90,0
13486,0,23,2.3599699,0,1,10,0
13574,0,30,4.1970549,1,1,190,1
13664,0,25,3.9619966,0,0,60,0
13812,0,25,3.3776224,0,0,90,0
14212,0,26,3.458298,0,1,120,0
14220,0,28,2.7996411,1,1,240,1
14266,0,26,3.0967278,0,1,60,1
14380,0,25,3.0946934,0,0,130,1
14672,0,23,2.9062588,0,1,30,0
14682,0,23,3.9770288,0,1,80,0
14704,0,25,4.0076942,0,0,50,0
14724,0,24,5.9590802,0,1,30,0
14734,0,25,5.2125001,0,1,50,0
14804,0,29,3.6911023,1,1,150,1
14926,0,28,4.9257622,0,1,20,0
15098,0,25,4.404284,0,0,60,0
15148,0,25,2.7831867,0,1,36,0
15436,0,23,4.1681857,0,0,40,0
15452,0,26,2.6629901,0,1,30,0
15704,0,27,2.8402689,0,1,150,1
15732,0,25,1.0904567,0,1,80,0
15836,0,31,3.3182311,0,0,30,0
15862,0,26,3.8316634,0,1,80,0
16104,0,28,3.7076747,0,1,120,1
16334,0,30,3.4295022,1,1,240,1
16410,0,25,3.8790488,0,0,30,0
16422,0,29,2.2396276,1,1,90,1
16518,0,27,3.2689991,0,1,180,0
16538,0,22,3.1119468,0,0,180,0
16564,0,30,3.0948277,0,1,30,0
16654,0,29,2.6660111,1,1,90,1
16806,0,28,2.4147966,1,1,120,1
16812,0,24,3.0640123,0,1,80,0
16870,0,21,2.4054167,0,0,120,0
17000,0,27,4.5554433,0,0,20,0
17014,0,27,4.1354113,0,1,120,0
17058,0,23,2.6229999,0,1,140,0
17166,0,27,4.1173334,0,1,180,0
17178,0,25,3.7911956,0,0,40,0
17180,0,24,3.1745889,0,0,120,0
17274,0,26,3.1348279,1,1,120,1
17290,0,31,5.9103727,1,0,210,1
17386,0,23,2.3342412,1,1,120,1
17518,0,30,3.7134566,1,1,190,1
17524,0,25,2.5359511,0,0,80,0
17572,0,23,4.0033512,0,1,210,0
17616,0,23,2.7490478,0,1,150,0
17668,0,23,3.9913411,0,1,40,0
17714,0,29,2.8260889,1,1,40,1
17800,0,27,3.5358,0,0,50,0
17908,0,27,3.1488588,1,1,105,1
17918,0,29,2.3846402,1,0,80,1
17926,0,25,4.0380645,0,1,20,0
18148,0,22,5.0304408,0,0,40,0
18222,0,26,2.2578311,0,0,40,0
18346,0,27,3.5644066,0,1,220,0
18366,0,24,3.1403933,0,0,20,0
18380,0,27,3.22542,0,1,90,1
18454,0,25,3.7751811,0,1,100,1
18476,0,23,3.4859512,0,1,180,0
18502,0,26,2.3131669,0,1,210,1
18634,0,23,3.4158845,0,1,120,0
18650,0,25,3.3426323,0,1,120,0
18656,0,27,2.5086868,0,1,150,0
18776,0,22,4.1839623,0,1,60,0
18786,0,27,2.2973602,0,1,90,1
19012,0,27,1.8491844,1,1,90,1
19018,0,23,4.1665401,0,0,120,0
19028,0,23,3.5295444,0,1,120,0
19136,0,21,3.5800178,0,0,35,0
19140,0,23,3.1589513,0,1,30,0
19142,0,21,3.548409,0,0,20,0
19144,0,20,3.8351867,0,1,30,0
19146,0,21,3.3134155,0,1,80,0
19186,0,20,3.4463911,0,1,90,0
19260,0,22,2.7414956,0,0,2.7,0
19266,0,22,4.0709419,0,1,65,0
19268,0,23,3.9852912,0,0,100,0
19296,0,25,3.8101943,0,0,105,1
19344,0,26,3.9038167,0,0,160,0
19544,0,25,3.3879843,0,0,90,0
19558,0,26,3.7050955,0,1,40,0
19576,0,23,3.4961178,0,1,70,0
19684,0,22,2.7337523,0,1,180,0
19712,0,21,3.0223567,0,0,30,0
20260,0,23,4.6721969,0,0,40,0
20356,0,24,3.134609,0,0,40,0
20386,0,26,2.953568,0,1,70,1
20536,0,26,3.7286656,0,1,60,0
20568,0,23,3.8858354,0,0,30,0
20708,0,21,3.0945213,0,0,60,0
20790,0,25,4.0563588,0,0,40,0
20804,0,26,3.2056422,0,0,40,0
20994,0,24,3.9896567,0,1,180,0
21014,0,24,3.7158668,0,1,30,0
21060,0,24,3.2551234,0,1,20,0
21068,0,25,3.7650187,0,1,60,0
21126,0,25,2.4348133,0,1,120,0
21138,0,25,2.7632489,0,1,120,0
21142,0,25,3.663141,0,1,130,1
21286,0,25,2.6855145,0,0,30,0
21312,0,24,3.2305489,0,0,40,0
21454,0,22,3.5118167,0,0,120,0
21472,0,24,2.5875034,0,1,70,0
21474,0,25,2.7566977,0,1,100,0
21478,0,27,3.4119534,0,0,130,0
21492,0,27,3.2355423,0,0,40,0
21592,0,22,3.5140011,0,0,30,0
21610,0,20,3.4877989,0,1,140,0
21614,0,25,2.9098122,0,1,110,0
21622,0,25,3.3491721,0,1,30,1
21670,0,28,3.2536354,0,1,90,0
21696,0,25,4.9885721,0,1,60,0
21704,0,23,3.079479,0,0,50,0
21746,0,21,2.8369355,0,1,90,0
21990,0,26,2.6234801,0,1,60,0
21996,0,26,3.2235112,0,0,120,0
22080,0,24,3.5719011,0,0,60,0
22082,0,22,3.5133724,0,0,60,0
22130,0,25,2.5165932,0,1,80,0
22132,0,25,4.4988065,0,1,20,0
22136,0,21,3.0249944,0,1,40,0
22140,0,25,3.8671577,0,1,40,1
22190,0,22,3.3493822,0,0,60,0
22218,0,21,3.4206634,0,1,30,0
22230,0,20,3.1743488,0,0,30,0
22260,0,22,2.6297543,0,0,20,0
22266,0,21,3.9789944,0,0,60,0
22290,0,26,2.72949,1,1,80,1
22318,0,22,3.1374056,0,0,50,0
22324,0,21,3.5810654,0,0,60,0
22336,0,21,4.0701566,0,0,25,0
22340,0,20,2.8807321,0,0,45,0
22426,0,22,3.0261011,0,1,50,0
22428,0,21,2.5083845,0,0,60,0
22456,0,21,3.5803354,0,1,60,0
22500,0,21,3.397541,0,0,60,0
22706,0,26,3.2608311,0,1,60,1
22720,0,22,3.6249466,0,0,90,0
22864,0,21,2.5618279,0,0,40,0
22878,0,27,2.5484579,0,1,120,0
22888,0,28,2.702172,0,1,180,0
23046,0,22,2.7214289,0,0,40,0
23050,0,21,3.1027713,0,0,40,0
23066,0,27,3.0804055,0,1,90,1
23084,0,21,2.8742557,0,0,60,0
23088,0,20,3.7588732,0,0,30,0
23096,0,21,3.1757178,0,0,35,0
23150,0,23,3.4969122,0,0,40,0
23172,0,20,2.76301,0,0,45,0
23374,0,23,3.4031124,0,0,20,0
23380,0,20,2.8368402,0,0,60,0
23400,0,22,4.6049948,0,0,30,0
23410,0,21,3.5458078,0,1,40,0
23438,0,20,4.3959155,0,0,40,0
23480,0,24,2.9802465,0,0,30,0
23516,0,24,3.3576355,0,1,60,0
23604,0,23,5.4443502,0,0,150,0
23676,0,21,3.16377,0,0,30,0
23686,0,20,2.8571634,0,1,180,0
23742,0,21,2.5448833,0,1,240,0
23792,0,21,2.8915479,0,0,130,0
23928,0,21,2.9202135,0,1,40,0
23934,0,20,3.4087012,0,0,65,0
23950,0,24,2.9984467,1,1,120,1
23982,0,21,3.3095632,0,0,50,0
24066,0,26,3.6637111,0,0,60,0
24070,0,24,3.0301745,0,0,60,0
24076,0,24,3.8333433,0,1,20,0
24110,0,25,3.6679611,0,1,20,0
24162,0,25,2.9205401,0,0,60,0
24322,0,23,3.5393789,0,1,30,0
24324,0,23,2.5267766,0,1,35,0
24328,0,24,3.0627234,0,1,40,0
24340,0,23,3.5642712,0,1,40,0
24530,0,25,4.3066864,0,0,33,0
24598,0,24,4.4733825,0,0,30,0
24606,0,21,4.6458611,0,1,40,0
24828,0,21,2.7225854,0,0,25,0
24968,0,20,3.1361432,0,0,40,0
25072,0,23,2.9120088,0,0,20,0
25074,0,21,3.7054734,0,1,30,0
25084,0,24,2.0531211,0,1,90,0
25086,0,24,1.9326589,0,1,80,0
25094,0,25,3.0681798,0,1,140,0
25326,0,27,3.0966346,0,1,5,1
25334,0,23,3.3170657,0,0,40,0
25342,0,26,2.7874212,0,0,180,0
25524,0,26,3.8020689,0,0,20,0
25526,0,29,4.2403712,0,0,50,0
25560,0,22,3.0283911,0,0,20,0
25612,0,21,2.5250502,0,0,30,0
25616,0,23,2.573849,0,1,30,0
25618,0,25,4.0457158,0,0,20,0
25620,0,23,2.8754656,0,1,90,0
25622,0,20,2.8584857,0,1,80,0
25826,0,20,3.2321477,0,0,30,0
25830,0,19,3.6076546,0,0,30,0
25872,0,20,3.5170422,0,0,35,0
25876,0,20,4.3397822,0,1,80,0
25926,0,22,3.3110511,0,0,40,0
25976,0,22,3.309551,1,0,40,1
26144,0,24,5.0663657,0,1,30,0
26198,0,22,3.2865422,0,0,30,0
26200,0,20,3.2126355,0,0,40,0
26202,0,19,3.1471798,0,0,50,0
26208,0,20,3.6915932,0,0,40,0
26226,0,19,3.1089356,0,0,60,0
26236,0,20,2.8887911,0,0,40,0
26238,0,20,3.6731389,0,0,30,0
26242,0,20,3.197969,0,0,35,0
26248,0,20,3.7751455,0,0,40,0
26262,0,20,4.4634914,0,0,30,0
26270,0,22,3.2465155,0,0,36,0
26278,0,20,2.9617057,0,0,40,0
26284,0,20,3.1350701,0,0,25,0
26286,0,20,3.1599944,0,0,30,0
26292,0,19,3.6421499,0,0,40,0
26352,0,20,2.8953266,0,0,30,0
26388,0,23,4.3880033,0,0,50,0
26634,0,26,2.8049321,0,1,60,0
26896,0,22,4.9019079,0,0,30,0
26906,0,24,3.2975867,0,1,40,0
26934,0,24,3.4246302,0,1,120,0
26944,0,24,3.3517056,0,0,60,0
26948,0,23,3.284308,0,0,12,0
26956,0,23,3.4564812,0,0,120,0
26982,0,24,2.9843311,0,0,40,0
27044,0,23,2.8324389,0,0,30,0
27076,0,24,3.877239,0,0,35,0
27180,0,23,3.6185167,0,1,80,1
27232,0,25,3.0338612,0,0,100,0
27234,0,24,3.5235732,0,1,60,0
27336,0,21,3.0230489,0,0,50,0
27344,0,27,3.0930235,0,0,40,0
27364,0,24,3.4228323,0,0,60,0
27382,0,24,2.719209,0,0,40,0
27540,0,27,3.0060413,0,1,90,0
27544,0,23,4.0312033,0,0,80,0
27726,0,24,3.41469,0,0,40,0
27762,0,24,3.0689321,0,0,30,0
27764,0,25,3.1251032,0,0,40,0
27772,0,24,3.3379233,0,1,100,0
27824,0,25,2.4968133,0,0,60,0
27844,0,25,4.1549602,0,1,30,0
27882,0,20,3.2835288,0,0,40,0
27916,0,21,3.397579,0,0,30,0
27924,0,24,3.6947865,0,0,60,0
28162,0,25,2.8748934,0,1,20,1
28164,0,22,3.4205945,0,0,50,0
28202,0,23,3.9591124,0,0,40,0
28204,0,22,2.4714944,0,1,180,0
28400,0,23,3.316999,0,0,50,0
28402,0,23,3.5548458,0,1,20,0
28484,0,23,2.09901,1,1,120,1
28528,0,27,4.6637621,1,1,30,1
28552,0,20,3.9057133,0,0,35,0
28554,0,19,3.3641467,0,0,35,0
28556,0,24,3.2176633,0,0,120,0
28560,0,20,2.9997089,0,1,160,0
28572,0,21,3.8881876,0,0,24,0
28646,0,22,3.2593431,0,0,30,0
28656,0,23,2.2167034,0,1,120,1
28666,0,23,2.5683868,0,0,40,0
28676,0,23,3.1139877,0,0,20,0
28700,0,22,2.9848545,0,1,20,0
28756,0,23,3.3685501,0,0,40,0
28786,0,25,3.2803476,0,0,30,0
28796,0,24,4.4402142,0,0,40,0
28802,0,24,3.8384387,0,0,35,0
28950,0,22,4.0693069,0,0,30,0
28956,0,21,2.7902412,0,0,30,0
28990,0,20,4.2553997,0,0,40,0
29010,0,22,2.4783833,0,0,120,1
29012,0,20,1.2744288,0,1,40,0
29014,0,21,2.9242265,0,0,60,0
29024,0,26,2.5902634,0,1,160,0
29030,0,28,2.4293523,0,1,180,0
29032,0,23,2.6952755,0,1,120,0
29192,0,29,3.8379033,0,1,120,0
29218,0,24,3.4329321,0,1,30,0
29226,0,24,3.5465789,0,0,30,0
29230,0,24,3.4854589,0,1,70,0
29232,0,22,3.6738088,0,0,60,0
29234,0,21,2.6662688,0,0,40,0
29240,0,25,2.5492635,0,1,170,0
29250,0,23,3.3382566,0,0,104,0
29254,0,23,2.983391,0,0,50,0
29256,0,24,3.0030389,0,0,60,0
29550,0,21,2.3769021,0,0,30,0
29558,0,25,3.9397457,0,1,80,1
29564,0,22,3.268261,0,0,80,0
29594,0,23,3.6993778,0,1,120,0
29622,0,22,3.0297511,0,0,40,0
29626,0,23,3.5540123,0,1,40,0
29734,0,21,4.4828634,0,0,30,0
29746,0,23,2.9760733,0,1,40,0
29750,0,22,2.7162199,0,1,40,0
29770,0,24,4.3264756,0,1,35,0
29790,0,22,2.5431232,0,1,120,0
29808,0,25,3.0939734,1,1,32,1
29838,0,26,3.9435601,1,1,60,1
29964,0,26,2.4840245,1,1,160,1
30002,0,26,3.3996856,0,1,200,0
30092,0,21,3.4670389,0,0,60,0
30206,0,23,3.0371256,0,1,30,0
30214,0,26,2.7474189,0,1,40,1
30216,0,25,3.018311,0,1,30,1
30220,0,22,3.3741033,0,1,24,0
30234,0,24,3.0052035,0,0,27,0
30240,0,23,2.665659,0,0,60,0
30244,0,22,2.7403345,0,0,20,0
30262,0,25,3.5217209,0,1,40,0
30276,0,21,3.1930234,0,1,120,0
30366,0,22,2.8957765,0,0,30,0
30378,0,21,2.4742501,0,0,40,0
30392,0,22,2.8980632,0,0,60,0
30398,0,26,2.4336476,0,1,30,0
30410,0,23,2.8438201,0,0,60,0
30436,0,23,2.6997821,0,0,120,0
30440,0,23,4.0129824,0,0,40,0
30448,0,23,3.5930345,0,1,60,0
30460,0,25,3.270689,0,0,40,0
30470,0,22,2.7839835,0,0,60,0
30634,0,23,3.2355044,0,1,30,0
30858,0,26,3.7772722,0,1,30,0
30998,0,23,3.023452,0,1,130,0
31014,0,24,1.9349999,0,0,120,0
31114,0,28,2.56603,0,1,90,0
31150,0,23,2.5736222,0,1,60,0
31206,0,22,2.49878,0,1,180,0
31238,0,25,2.8582709,0,0,60,0
31436,0,20,2.6830223,0,0,40,0
31886,0,24,2.76421,0,0,20,0
31894,0,25,2.6331034,0,1,60,0
31922,0,26,2.7839034,0,1,35,0
32004,0,22,3.53777,0,0,80,0
32320,0,22,4.5784731,0,1,60,0
32722,0,22,2.6374743,0,1,80,0
32728,0,19,2.8803453,0,0,30,0
32804,0,23,2.4055622,0,1,75,0
33094,0,23,3.1238844,0,1,45,0
33136,0,23,3.5382211,0,0,35,0
33352,0,20,1.8107578,0,1,120,0
33366,0,25,3.2333767,0,1,40,0
33406,0,28,2.5894167,0,1,60,0
33410,0,25,2.6481922,1,1,14,1
33634,0,22,4.146771,0,1,60,0
33664,0,19,3.6367931,0,0,60,0
33874,0,22,2.8625379,0,1,24,0
33982,0,22,3.7792344,0,0,20,0
34110,0,29,2.5770199,1,1,50,1
34396,0,24,3.7040522,0,1,40,0
34526,0,27,2.3073802,1,1,180,1
34542,0,21,3.2561066,0,0,30,0
34890,0,24,2.2445667,0,1,200,0
34956,0,23,2.1504068,0,1,16,0
35006,0,23,2.41485,0,1,10,1
35144,0,20,3.5906289,0,0,60,0
35408,0,27,3.5163388,1,1,180,1
35760,0,24,3.7003267,0,1,2.5999999,1
35822,0,27,3.5905633,0,1,120,0
36060,0,24,2.2917278,0,1,35,0
36318,0,26,3.2498155,0,1,120,0
36494,0,23,2.1946733,0,1,40,0
36528,0,28,2.1318212,1,1,140,1
36676,0,21,2.6353345,0,0,135,0
37276,0,22,3.0966489,0,1,90,0
37296,0,29,2.5851912,0,1,80,0
37350,0,22,2.8080456,0,0,90,0
37358,0,23,1.9356611,0,1,60,0
37588,0,23,2.7753832,0,0,90,0
37618,0,23,2.6357243,0,0,50,0
37790,0,23,2.3680079,0,0,50,0
37796,0,22,2.1919377,0,0,30,0
37800,0,21,2.51531,0,0,30,0
37804,0,21,2.4997599,0,1,120,0
37808,0,19,2.8858011,0,0,20,0
37824,0,19,2.687099,0,1,20,0
37832,0,25,3.028671,0,0,50,0
37834,0,19,3.0439134,0,0,30,0
37836,0,21,2.3035901,0,0,210,0
37840,0,18,1.98746,0,1,30,0
38008,0,24,4.0597401,0,1,180,0
38010,0,22,2.8836322,0,0,2,0
38022,0,18,1.9928434,0,1,20,0
38024,0,25,2.6940653,0,1,40,0
38026,0,28,2.8192687,0,0,120,0
38030,0,27,2.2042091,0,1,240,0
38034,0,19,1.8545834,0,1,40,0
38036,0,18,1.9276143,0,1,120,0
38044,0,19,2.0092111,0,0,165,0
38048,0,19,2.4725711,0,0,120,0
38050,0,23,3.8327944,0,0,200,0
38052,0,18,2.0711598,0,1,90,0
38068,0,18,2.1992757,0,0,160,0
38074,0,27,2.3509421,1,1,140,1
38076,0,23,3.7066898,0,1,60,0
38078,0,18,2.1222112,0,1,120,0
38274,0,21,2.5270109,0,1,80,0
38276,0,20,2.4789491,0,0,25,0
38300,0,20,2.8186612,0,0,35,0
38302,0,22,2.4542255,0,0,30,0
